sample_id,species,morph,location,age,NestType
DEJ_DY,DEJ,NA,MT,AHY,NA
DEJ_RL,DEJ,NA,MT,AHY,NA
GCSP_O8685,GCSP,NA,AK,AHY,NA
GCSP_O8686,GCSP,NA,AK,AHY,NA
GCSP_O8687,GCSP,NA,AK,AHY,NA
GCSP_O8701,GCSP,NA,AK,N,NA
GCSP_O8769,GCSP,NA,AK,N,NA
GCSP_O8799,GCSP,NA,AK,N,NA
HASP_28627,HASP,NA,KS,AHY,NA
HASP_28629,HASP,NA,KS,AHY,NA
WTSP_O3907,WTSP,W,NY,N,WxT
WTSP_O3908,WTSP,T,NY,N,WxT
RCSP_1,RCSP,NA,IN,AHY,NA
WCS_5905,WCS,NA,AK,AHY,NA
WTSP_25742,WTSP,unk,KS,HY,NA
WTSP_25743,WTSP,unk,KS,HY,NA
WTSP_O3914,WTSP,T,NY,N,WxT
WTSP_64810,WTSP,T,NY,N,TxW
WTSP_64825,WTSP,T,NY,AHY,NA
WTSP_64836,WTSP,W,NY,AHY,NA
WTSP_64842,WTSP,T,NY,AHY,NA
WTSP_64845,WTSP,T,NY,AHY,NA
WTSP_64848,WTSP,T,NY,AHY,NA
WTSP_64872,WTSP,T,NY,N,TxW
WTSP_64874,WTSP,T,NY,AHY,NA
WTSP_64897,WTSP,T,NY,N,TxW
WTSP_64902,WTSP,W,NY,N,WxT
WTSP_64912,WTSP,W,NY,N,TxW
WTSP_649122,WTSP,W,NY,N,TxW
WTSP_64918,WTSP,T,NY,N,TxW
WTSP_64922,WTSP,W,NY,N,TxW
WTSP_64933,WTSP,W,NY,N,TxW
WTSP_64943,WTSP,T,NY,N,WxT
WTSP_64945,WTSP,W,NY,N,WxT
WTSP_68714,GCSP,NA,AK,N,NA
